x y
629538.64772200 5949092.68645259
636907.60760833 5935707.78967773
633747.42134302 5940356.53051583
631694.92471287 5951085.20840651
629708.29031699 5939793.37902467
629445.58285035 5946927.89863758
629253.87240173 5942588.60255003
636578.61249816 5944122.78406664
635676.08764149 5954495.83342875
636569.21957689 5945361.81308339
633744.08587265 5941697.78405178
631516.44139370 5942067.27037359
634635.51901467 5948094.03374526
633734.77723244 5942854.70189640
631705.58312187 5947373.01468512
636445.96798487 5942049.53469508
637080.82148062 5942157.08878547
633719.42285579 5943900.27860291
